day,w_l,ot,rec,location,opp,TeamPoints,OppPoints,Firsts,TotYdO,PassYO,RushYO,TeamTOs,FirstsA,TotYdA,PassYA,RushYA,ForcedTOs,Week
September 13,W,0,1-0,Away,Minnesota Vikings,43,34,31,522,364,158,0,25,382,248,134,1,1
September 20,W,0,2-0,Home,Detroit Lions,42,21,26,488,229,259,0,19,307,218,89,1,2
September 27,W,0,3-0,Away,New Orleans Saints,37,30,24,369,271,98,0,21,397,275,122,1,3
October 5,W,0,4-0,Home,Atlanta Falcons,30,16,22,403,315,88,0,24,327,249,78,0,4
0,0,0,0,Home,Bye Week,0,0,0,0,0,0,0,0,0,0,0,0,5
October 18,L,0,4-1,Away,Tampa Bay Buccaneers,10,38,13,201,107,94,2,21,324,166,158,0,6
October 25,W,0,5-1,Away,Houston Texans,35,20,22,379,283,96,0,20,365,286,79,1,7
November 1,L,0,5-2,Home,Minnesota Vikings,22,28,24,400,291,109,1,20,324,151,173,0,8
November 5,W,0,6-2,Away,San Francisco 49ers,34,17,21,405,294,111,0,17,337,282,55,2,9
November 15,W,0,7-2,Home,Jacksonville Jaguars,24,20,16,395,315,80,2,16,260,151,109,1,10
November 22,L,OT,7-3,Away,Indianapolis Colts,31,34,21,367,301,66,4,23,420,280,140,2,11
November 29,W,0,8-3,Home,Chicago Bears,41,25,28,393,211,182,0,26,350,229,121,3,12
December 6,W,0,9-3,Home,Philadelphia Eagles,30,16,20,437,288,149,0,17,278,161,117,1,13
December 13,W,0,10-3,Away,Detroit Lions,31,24,26,410,290,120,0,27,293,242,51,0,14
December 19,W,0,11-3,Home,Carolina Panthers,24,16,20,291,96,195,0,20,364,249,115,1,15
December 27,W,0,12-3,Home,Tennessee Titans,40,14,27,448,214,234,1,15,260,104,156,2,16
January 3,W,0,13-3,Away,Chicago Bears,35,16,17,316,237,79,1,21,356,248,108,2,17
Playoffs,0,0,0,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,18
January 16,W,0,14-3,Home,Los Angeles Rams,32,18,28,484,296,188,0,17,244,148,96,0,19
January 24,L,0,14-4,Home,Tampa Bay Buccaneers,26,31,23,381,314,67,2,19,351,275,76,3,20
