day,w_l,ot,rec,location,opp,TeamPoints,OppPoints,Firsts,TotYdO,PassYO,RushYO,TeamTOs,FirstsA,TotYdA,PassYA,RushYA,ForcedTOs,Week
September 9,L,0,0-1,Away,Minnesota Vikings,16,24,20,327,237,90,4,19,343,227,116,1,1
September 16,W,0,1-1,Home,Detroit Lions,30,27,23,346,156,190,0,25,427,329,98,1,2
September 23,L,0,1-2,Away,Kansas City Chiefs,27,38,26,406,228,178,0,31,384,307,77,0,3
September 30,L,0,1-3,Away,Los Angeles Chargers,27,29,22,364,288,76,2,21,368,242,126,1,4
October 7,L,0,1-4,Home,Arizona Cardinals,18,28,33,447,300,147,5,10,220,164,56,0,5
October 15,L,0,1-5,Away,Green Bay Packers,30,33,18,401,227,174,3,26,521,405,116,0,6
October 21,L,0,1-6,Home,Los Angeles Rams,10,39,16,228,121,107,4,20,339,193,146,0,7
October 28,L,0,1-7,Away,Arizona Cardinals,15,18,16,267,160,107,0,20,321,233,88,2,8
November 1,W,0,2-7,Home,Oakland Raiders,34,3,18,405,262,143,0,14,242,140,102,0,9
November 12,L,0,2-8,Home,New York Giants,23,27,24,374,250,124,2,17,277,180,97,0,10
0,0,0,0,Home,Bye Week,0,0,0,0,0,0,0,0,0,0,0,0,11
November 25,L,0,2-9,Away,Tampa Bay Buccaneers,9,27,23,342,194,148,2,25,412,304,108,0,12
December 2,L,0,2-10,Away,Seattle Seahawks,16,43,24,452,386,66,3,21,331,163,168,0,13
December 9,W,0,3-10,Home,Denver Broncos,20,14,24,389,305,84,1,22,274,171,103,0,14
December 16,W,OT,4-10,Home,Seattle Seahawks,26,23,20,351,257,94,1,18,385,217,168,0,15
December 23,L,0,4-11,Home,Chicago Bears,9,14,15,279,232,47,1,20,325,235,90,2,16
December 30,L,0,4-12,Away,Los Angeles Rams,32,48,22,391,264,127,4,28,377,222,155,0,17
