day,w_l,ot,rec,location,opp,TeamPoints,OppPoints,Firsts,TotYdO,PassYO,RushYO,TeamTOs,FirstsA,TotYdA,PassYA,RushYA,ForcedTOs,Week
September 13,L,0,0-1,Home,Arizona Cardinals,20,24,18,366,243,123,0,29,404,224,180,1,1
September 20,W,0,1-1,Away,New York Jets,31,13,17,359,177,182,1,17,277,173,104,0,2
September 27,W,0,2-1,Away,New York Giants,36,9,29,420,327,93,0,13,231,165,66,3,3
October 4,L,0,2-2,Home,Philadelphia Eagles,20,25,25,417,301,116,3,18,267,174,93,1,4
October 11,L,0,2-3,Home,Miami Dolphins,17,43,19,259,128,131,3,22,436,342,94,0,5
October 18,W,0,3-3,Home,Los Angeles Rams,24,16,24,390,268,122,0,17,311,198,113,1,6
October 25,W,0,4-3,Away,New England Patriots,33,6,26,467,270,197,2,17,241,147,94,4,7
November 1,L,0,4-4,Away,Seattle Seahawks,27,37,24,351,299,52,2,27,350,249,101,0,8
November 5,L,0,4-5,Home,Green Bay Packers,17,34,17,337,282,55,2,21,405,294,111,0,9
November 15,L,0,4-6,Away,New Orleans Saints,13,27,21,281,232,49,4,17,237,123,114,2,10
0,0,0,0,Home,Bye Week,0,0,0,0,0,0,0,0,0,0,0,0,11
November 29,W,0,5-6,Away,Los Angeles Rams,23,20,18,345,233,112,3,14,308,182,126,4,12
December 7,L,0,5-7,Home,Buffalo Bills,24,34,24,402,316,86,2,31,449,368,81,1,13
December 13,L,0,5-8,Home,Washington Football Team,15,23,21,344,236,108,3,12,193,95,98,1,14
December 20,L,0,5-9,Away,Dallas Cowboys,33,41,28,458,308,150,4,15,291,204,87,0,15
December 26,W,0,6-9,Away,Arizona Cardinals,20,12,22,398,171,227,1,20,350,230,120,2,16
January 3,L,0,6-10,Home,Seattle Seahawks,23,26,17,328,242,86,1,21,280,159,121,0,17
