day,w_l,ot,rec,location,opp,TeamPoints,OppPoints,Firsts,TotYdO,PassYO,RushYO,TeamTOs,FirstsA,TotYdA,PassYA,RushYA,ForcedTOs,Week
September 8,W,0,1-0,Away,Tampa Bay Buccaneers,31,17,17,256,158,98,2,21,295,174,121,4,1
September 15,W,0,2-0,Away,Cincinnati Bengals,41,17,27,571,312,259,1,14,316,291,25,1,2
September 22,W,0,3-0,Home,Pittsburgh Steelers,24,20,26,436,268,168,5,11,239,160,79,2,3
0,0,0,0,Home,Bye Week,0,0,0,0,0,0,0,0,0,0,0,0,4
October 7,W,0,4-0,Home,Cleveland Browns,31,3,22,446,171,275,0,9,180,78,102,4,5
October 13,W,0,5-0,Away,Los Angeles Rams,20,7,22,331,232,99,2,10,157,48,109,1,6
October 20,W,0,6-0,Away,Washington Redskins,9,0,17,283,146,137,1,10,154,50,104,1,7
October 27,W,0,7-0,Home,Carolina Panthers,51,13,24,388,156,232,1,12,230,100,130,3,8
October 31,W,0,8-0,Away,Arizona Cardinals,28,25,21,411,310,101,0,19,357,204,153,0,9
November 11,L,OT,8-1,Home,Seattle Seahawks,24,27,21,302,215,87,3,19,336,189,147,4,10
November 17,W,0,9-1,Home,Arizona Cardinals,36,26,26,442,408,34,2,21,266,131,135,2,11
November 24,W,0,10-1,Home,Green Bay Packers,37,8,16,339,227,112,0,19,198,81,117,1,12
December 1,L,0,10-2,Away,Baltimore Ravens,17,20,15,331,157,174,1,21,283,105,178,1,13
December 8,W,0,11-2,Away,New Orleans Saints,48,46,25,516,354,162,1,28,465,349,116,1,14
December 15,L,0,11-3,Home,Atlanta Falcons,22,29,20,313,193,120,2,20,290,201,89,1,15
December 21,W,0,12-3,Home,Los Angeles Rams,34,31,19,334,215,119,2,24,395,323,72,1,16
December 29,W,0,13-3,Away,Seattle Seahawks,26,21,18,398,270,128,0,27,348,223,125,0,17
Playoffs,0,0,0,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,18
January 11,W,0,14-3,Home,Minnesota Vikings,27,10,21,308,122,186,2,7,147,126,21,2,19
January 19,W,0,15-3,Home,Green Bay Packers,37,20,19,354,69,285,0,21,358,296,62,3,20
February 2,L,0,15-4,N,Kansas City Chiefs,20,31,21,351,210,141,2,26,397,268,129,2,21
